event_id,organizer_id,activity_id,sport_cluster,skill_level,max_participants,duration_hours,start_time,latitude,longitude,geo_cluster,day_of_week,time_of_day,fill_rate,participant_count,skill_diversity,social_density_cat,avg_organizer_rating,f1,f2,f3,f4,f5,f6,f7,f8
21,3261,25,3,3,11,2.4,2023-07-12 20:00:00,45.847717,15.950491,1,3,2,0.164,2,1.04,0,3.78,0.4649,0.5025,0.8875,0.5967,0.8315,0.1459,0.5007,0.8576
22,7349,17,0,1,7,1.0,2023-04-07 19:00:00,45.861001,15.949893,1,5,2,0.259,2,1.464,0,2.72,0.9387,0.2374,0.5229,0.5118,0.2058,0.9103,0.4479,0.3489
23,8249,0,1,0,12,2.1,2024-02-07 09:00:00,45.798229,15.897168,4,3,0,0.635,8,1.263,1,2.74,0.7556,0.3175,0.3778,0.496,0.5334,0.1574,0.4971,0.235
24,7278,13,6,2,8,0.6,2023-07-08 09:00:00,45.845893,15.95414,1,6,0,0.645,5,0.899,1,3.41,0.6453,0.3449,0.271,0.5911,0.3374,0.1745,0.8469,0.4424
25,3023,3,2,1,9,1.7,2024-01-26 19:00:00,45.798202,15.951511,0,5,2,0.385,3,1.174,1,2.91,0.3883,0.9746,0.1767,0.6816,0.226,0.2917,0.4028,0.506
26,5141,17,0,0,3,1.7,2023-11-05 19:00:00,45.740111,15.975582,3,0,2,0.698,2,0.183,0,1.35,0.9919,0.29,0.4878,0.423,0.2497,0.8179,0.4461,0.3671
27,8049,11,3,1,4,1.3,2023-04-09 09:00:00,45.809339,15.876426,4,0,0,0.415,2,0.65,0,2.64,0.4442,0.5465,0.8676,0.6477,0.7825,0.2082,0.5237,0.7908
28,2593,2,0,1,38,1.4,2024-09-28 19:00:00,45.750365,15.965949,3,6,2,0.154,6,0.455,1,3.26,0.9022,0.3015,0.5019,0.5312,0.1469,0.8875,0.3779,0.297
29,4429,30,5,1,16,1.9,2023-10-29 18:00:00,45.858406,15.943058,1,0,2,0.938,15,0.246,2,2.75,0.2586,0.5072,0.0459,0.5622,0.3996,0.6054,0.3361,0.3756
30,6275,22,7,0,17,1.3,2024-01-09 18:00:00,45.798398,15.982166,0,2,2,0.445,8,1.053,1,2.4,0.4734,0.4006,0.641,0.5424,0.8712,0.3614,0.3552,0.8252
31,7029,4,6,0,20,2.2,2023-01-11 10:00:00,45.85165,15.942884,1,3,0,0.398,8,1.411,1,2.18,0.6209,0.3205,0.2725,0.674,0.2185,0.2544,0.9229,0.5079
32,4953,9,1,2,2,1.6,2024-11-04 18:00:00,45.81807,15.919018,4,1,2,0.46,1,1.122,0,2.38,0.8239,0.1762,0.3127,0.4321,0.5231,0.2141,0.4992,0.212
33,1998,2,0,0,8,1.5,2023-06-28 18:00:00,45.815104,15.894314,4,3,2,0.187,1,1.088,0,2.52,0.9159,0.2769,0.5291,0.3944,0.2502,0.8723,0.3328,0.3747
34,3324,28,0,0,15,1.5,2024-03-05 19:00:00,45.795848,16.054082,2,2,2,0.334,5,1.431,1,3.84,0.8415,0.2844,0.5378,0.5785,0.2388,0.826,0.4916,0.267
35,1845,8,0,1,16,0.8,2023-02-02 09:00:00,45.799795,15.978055,0,4,0,0.354,6,0.669,1,2.2,0.9295,0.2241,0.5605,0.5556,0.1927,0.8769,0.4016,0.2631
36,372,17,0,0,5,1.4,2023-03-24 18:00:00,45.799993,15.895051,4,5,2,0.618,3,0.322,1,2.41,0.8696,0.3293,0.484,0.5185,0.1979,0.913,0.3398,0.2898
37,5393,4,6,3,6,1.5,2024-06-10 10:00:00,45.818058,15.983341,0,1,0,0.422,3,0.244,1,3.55,0.6637,0.3347,0.288,0.7791,0.2039,0.235,0.8696,0.5166
38,8014,17,0,0,9,1.2,2023-04-26 09:00:00,45.851854,15.93691,1,3,0,0.567,5,0.899,1,1.73,0.9224,0.2927,0.5251,0.5286,0.228,0.9233,0.4674,0.318
39,5024,27,7,0,7,1.6,2024-12-20 09:00:00,45.803454,15.977989,0,5,0,0.624,4,0.135,1,2.14,0.4917,0.3661,0.6542,0.5081,0.8058,0.2295,0.492,0.6506
40,1888,1,1,0,12,1.3,2023-01-25 18:00:00,45.748378,15.969884,3,3,2,0.338,4,0.706,1,2.49,0.7888,0.3019,0.2449,0.4611,0.5336,0.2119,0.5486,0.2681
41,6478,2,0,0,10,2.3,2024-11-23 20:00:00,45.811368,15.968854,0,6,2,0.408,4,0.478,1,2.25,0.9114,0.2393,0.6977,0.4807,0.1604,0.845,0.4119,0.3174
42,1820,9,1,1,10,2.2,2023-12-03 18:00:00,45.798148,16.045706,2,0,2,0.472,5,0.425,1,3.74,0.7426,0.2552,0.2558,0.4145,0.6129,0.2529,0.457,0.268
43,124,11,3,1,7,0.7,2023-01-13 11:00:00,45.862722,15.954219,1,5,0,0.343,2,0.425,0,3.12,0.4819,0.4636,0.8805,0.5743,0.9122,0.2492,0.5291,0.7341
44,7231,1,1,0,6,1.1,2023-12-04 09:00:00,45.734289,15.98495,3,1,0,0.339,2,0.209,0,3.58,0.7665,0.2575,0.2794,0.3917,0.5652,0.2396,0.459,0.2695
45,2970,2,0,1,16,0.9,2024-10-17 18:00:00,45.856166,15.947489,1,4,2,0.413,7,0.27,1,3.77,0.9832,0.2289,0.5259,0.4869,0.3409,0.9304,0.4548,0.3703
46,3691,19,4,2,4,1.8,2024-06-23 19:00:00,45.798671,16.03249,2,0,2,0.416,2,0.498,0,2.62,0.7531,0.5734,0.6865,0.9622,0.2226,0.4739,0.6465,0.4182
47,2716,13,6,1,7,1.7,2024-11-08 18:00:00,45.741556,15.98103,3,5,2,0.226,2,1.233,0,2.18,0.7203,0.3441,0.3245,0.6997,0.2053,0.2439,1.0,0.4794
48,4003,2,0,0,8,0.6,2023-01-30 19:00:00,45.796956,16.049675,2,1,2,0.517,4,0.866,1,2.76,0.823,0.2839,0.5146,0.561,0.216,0.8625,0.4364,0.2717
49,8108,17,0,0,12,2.3,2024-01-21 18:00:00,45.760608,15.973568,3,0,2,0.261,3,0.811,1,2.48,0.8373,0.2906,0.511,0.442,0.1419,0.9959,0.3582,0.3031
50,3251,24,3,1,5,1.4,2024-02-18 09:00:00,45.745748,15.978541,3,0,0,0.408,2,0.742,0,2.86,0.4845,0.503,0.8857,0.6071,0.8397,0.1847,0.5201,0.747
51,4584,5,5,0,3,2.0,2023-12-11 19:00:00,45.748192,15.964233,3,1,2,0.104,0,0.745,0,3.46,0.3423,0.445,0.0907,0.5785,0.3133,0.5077,0.4857,0.3156
52,6636,9,1,0,4,0.5,2024-06-23 11:00:00,45.753948,15.968745,3,0,0,0.52,2,0.396,0,2.69,0.8254,0.3366,0.3252,0.4017,0.5124,0.2139,0.4714,0.3168
53,8485,3,2,1,31,1.0,2024-03-11 18:00:00,45.793593,15.969502,0,1,2,0.423,13,0.143,2,3.66,0.4301,1.0,0.1922,0.693,0.2369,0.3358,0.3238,0.4902
54,8890,11,3,1,3,1.9,2024-02-12 09:00:00,45.845586,15.953026,1,1,0,0.209,1,1.412,0,1.87,0.5535,0.4889,0.8041,0.6402,0.7961,0.2001,0.5402,0.7496
55,2669,14,5,1,18,1.3,2024-03-14 09:00:00,45.804981,15.886296,4,4,0,0.528,10,0.78,2,2.45,0.2849,0.4586,0.0626,0.6686,0.3019,0.5479,0.4309,0.2613
56,6307,2,0,0,27,1.7,2023-10-18 11:00:00,45.751838,15.961724,3,3,0,0.648,17,0.909,2,2.17,0.8625,0.3211,0.4715,0.5011,0.2011,0.856,0.4875,0.3101
57,2946,18,7,1,9,2.1,2024-01-15 19:00:00,45.793908,16.04212,2,1,2,0.461,4,0.843,1,2.47,0.5358,0.3445,0.6452,0.5121,0.9189,0.3135,0.4406,0.7807
58,2638,9,1,1,4,1.1,2024-04-11 09:00:00,45.79987,16.043193,2,4,0,0.766,3,0.765,1,3.65,0.816,0.2391,0.3295,0.3524,0.6816,0.1562,0.581,0.382
59,8255,25,3,1,12,1.5,2023-10-23 09:00:00,45.851662,15.957461,1,1,0,0.183,2,0.114,0,2.51,0.5307,0.4319,0.8291,0.6678,0.8474,0.0812,0.5385,0.8918
60,3961,1,1,1,6,0.5,2024-09-26 10:00:00,45.789696,16.04219,2,4,0,0.08,0,0.117,0,2.79,0.8057,0.3387,0.2877,0.4315,0.6845,0.2642,0.5038,0.3144
61,6600,2,0,2,9,0.5,2023-02-28 11:00:00,45.743367,15.97992,3,2,0,0.526,5,1.144,1,3.19,0.9908,0.3101,0.4178,0.5633,0.2216,0.9106,0.3306,0.3314
62,3359,2,0,2,2,1.3,2023-08-31 20:00:00,45.777015,16.045521,2,4,2,0.369,1,0.976,0,1.56,0.9371,0.2692,0.5622,0.3864,0.1758,0.9927,0.3575,0.3504
63,7549,4,6,0,4,1.0,2023-07-16 09:00:00,45.808897,15.898327,4,0,0,0.518,2,1.125,0,2.09,0.6966,0.282,0.2565,0.7561,0.1389,0.1972,0.9256,0.5238
64,8078,27,7,0,13,1.3,2023-02-19 10:00:00,45.804261,15.888936,4,0,0,0.681,9,0.425,2,3.3,0.4439,0.4738,0.6202,0.543,0.9335,0.2662,0.3108,0.6738
65,3406,9,1,0,10,1.1,2024-11-01 20:00:00,45.807941,15.890914,4,5,2,0.127,1,0.998,0,2.2,0.7774,0.3057,0.2278,0.46,0.6285,0.1813,0.5407,0.2839
66,2903,21,0,0,12,0.7,2023-09-30 18:00:00,45.808551,15.87264,4,6,2,0.054,1,1.112,0,2.59,0.8871,0.2987,0.5637,0.5086,0.1716,0.8311,0.4183,0.2019
67,4748,7,0,1,9,1.8,2023-01-08 19:00:00,45.809612,15.980586,0,0,2,0.459,4,1.115,1,3.27,0.877,0.3208,0.426,0.4997,0.0985,0.9189,0.38,0.2298
68,1065,1,1,1,14,2.3,2024-09-03 11:00:00,45.8207,15.969483,0,2,0,0.415,6,0.16,1,0.74,0.8046,0.3118,0.238,0.3585,0.4534,0.1229,0.4844,0.3238
69,5602,10,4,0,9,1.6,2024-10-25 20:00:00,45.744088,15.975055,3,5,2,0.387,3,0.391,1,2.43,0.9279,0.6281,0.7745,0.8435,0.1648,0.3858,0.7416,0.4791
70,7626,27,7,0,8,1.3,2023-09-06 09:00:00,45.79638,16.05459,2,3,0,0.588,5,1.212,1,2.69,0.4885,0.4301,0.5177,0.5718,0.8339,0.2781,0.4003,0.6735
71,1034,8,0,2,5,2.5,2023-12-25 09:00:00,45.803535,15.899011,4,1,0,0.305,2,0.436,0,2.25,1.0,0.3761,0.4961,0.5302,0.0929,0.8312,0.4508,0.3134
72,8545,27,7,0,11,1.9,2023-08-06 09:00:00,45.807899,15.891262,4,0,0,0.037,0,0.52,0,2.01,0.543,0.3607,0.5699,0.4505,0.93,0.1732,0.4027,0.7456
73,3149,0,1,1,22,1.6,2024-07-06 10:00:00,45.793416,16.03632,2,6,0,0.331,7,1.137,1,3.76,0.7356,0.3082,0.3388,0.4645,0.5409,0.1547,0.4577,0.3942
74,31,8,0,3,3,1.2,2023-08-15 09:00:00,45.809514,15.971727,0,2,0,0.119,0,0.183,0,3.31,0.8717,0.2976,0.4759,0.5832,0.1973,0.8111,0.4044,0.2678
75,3421,9,1,1,15,2.1,2024-12-20 18:00:00,45.804301,15.98158,0,5,2,0.59,9,0.552,2,2.91,0.8831,0.3024,0.3003,0.3725,0.5592,0.2135,0.5536,0.2981
76,6240,5,5,1,5,1.1,2023-09-02 11:00:00,45.75022,15.993921,3,6,0,0.712,4,0.781,1,3.11,0.3113,0.4874,0.1554,0.5817,0.2096,0.5714,0.3552,0.304
77,8290,14,5,2,4,1.2,2024-11-14 18:00:00,45.849366,15.955538,1,4,2,0.48,2,0.569,0,2.18,0.2182,0.5356,0.0947,0.6433,0.3342,0.6657,0.3791,0.2441
78,121,13,6,2,7,1.0,2023-08-19 18:00:00,45.758733,15.979765,3,6,2,0.346,2,1.026,0,2.78,0.6444,0.3172,0.3437,0.7391,0.2122,0.2265,0.9965,0.4448
79,7277,14,5,1,6,1.2,2024-05-17 18:00:00,45.812316,15.901469,4,5,2,0.605,4,0.795,1,2.07,0.1931,0.4595,0.1195,0.6219,0.3031,0.6079,0.4336,0.3799
80,6688,10,4,2,8,1.5,2023-10-13 20:00:00,45.805685,16.072119,2,5,2,0.518,4,1.092,1,1.73,0.7822,0.5464,0.8405,0.8883,0.1728,0.4113,0.8354,0.3664
81,7010,9,1,0,4,0.5,2024-05-16 19:00:00,45.783218,16.048074,2,4,2,0.483,2,1.101,0,3.17,0.8144,0.2564,0.4475,0.3107,0.6303,0.0811,0.4721,0.313
82,8373,8,0,0,9,1.2,2023-01-12 11:00:00,45.749849,15.96809,3,4,0,0.536,5,0.251,1,3.23,0.8785,0.3214,0.5839,0.5662,0.1489,0.914,0.4084,0.3334
83,4239,0,1,0,13,1.2,2024-02-12 20:00:00,45.803339,15.996078,0,1,2,0.339,4,0.189,1,2.23,0.7659,0.317,0.316,0.4069,0.5191,0.1401,0.4545,0.3293
84,6574,30,5,0,7,1.4,2024-05-07 18:00:00,45.755269,15.968726,3,2,2,0.169,1,0.726,0,3.16,0.2339,0.5055,0.1319,0.6615,0.3096,0.4755,0.3629,0.3898
85,5847,4,6,0,12,1.3,2023-11-07 20:00:00,45.790715,16.036972,2,2,2,0.428,5,1.336,1,2.18,0.7053,0.3892,0.2783,0.6524,0.2019,0.1704,0.8949,0.5617
86,1873,6,2,0,3,1.2,2024-01-02 20:00:00,45.7508,15.975769,3,2,2,0.564,2,0.582,0,1.9,0.2994,0.9009,0.1752,0.7489,0.2512,0.3437,0.3541,0.4246
87,1565,3,2,0,15,1.2,2024-10-09 19:00:00,45.868806,15.929437,1,3,2,0.358,5,0.213,1,2.18,0.4391,0.923,0.193,0.6162,0.2248,0.236,0.3274,0.4317
88,2435,25,3,2,6,1.9,2023-08-14 10:00:00,45.858086,15.952512,1,1,0,0.016,0,0.106,0,3.08,0.4483,0.5152,0.9206,0.6739,0.7957,0.1793,0.5346,0.6665
89,1524,6,2,1,4,1.8,2023-06-05 10:00:00,45.814373,15.897273,4,1,0,0.602,2,0.535,0,3.47,0.3654,0.8576,0.2439,0.7816,0.3541,0.2836,0.373,0.4683
90,4936,27,7,1,7,1.6,2023-09-17 20:00:00,45.855457,15.953946,1,0,2,0.179,1,1.099,0,2.78,0.4001,0.4743,0.5453,0.5265,0.9125,0.2342,0.4833,0.5671
91,7793,9,1,0,6,1.7,2023-12-11 19:00:00,45.808547,16.046634,2,1,2,0.562,3,0.781,1,3.48,0.8133,0.4112,0.3645,0.4702,0.4812,0.2944,0.5061,0.3058
92,1432,7,0,0,9,1.0,2023-04-29 09:00:00,45.800228,16.032383,2,6,0,0.531,5,0.61,1,2.66,0.9337,0.3265,0.5685,0.4727,0.1356,0.8433,0.3743,0.3128
93,1569,3,2,0,12,0.7,2024-11-28 18:00:00,45.802241,15.977429,0,4,2,0.691,8,1.094,1,3.69,0.3732,0.9552,0.1682,0.6222,0.3514,0.2178,0.2649,0.4969
94,7139,7,0,0,4,1.8,2024-01-03 18:00:00,45.802887,16.029359,2,3,2,0.48,2,0.907,0,2.28,0.8919,0.3522,0.4519,0.5367,0.2453,0.8348,0.4358,0.3078
95,1566,7,0,1,5,1.8,2024-05-24 19:00:00,45.809294,15.987804,0,5,2,0.363,2,0.446,0,2.32,0.8106,0.37,0.4785,0.4358,0.2498,0.9454,0.4887,0.3269
96,3744,29,1,1,4,1.3,2023-06-06 18:00:00,45.746121,15.980839,3,2,2,0.692,3,0.624,1,2.27,0.7805,0.2897,0.2876,0.4589,0.6615,0.1983,0.3942,0.2702
97,4535,1,1,1,14,2.2,2023-12-11 11:00:00,45.81462,15.883926,4,1,0,0.085,1,0.349,0,3.37,0.9262,0.2985,0.3106,0.446,0.6012,0.1902,0.5607,0.2855
98,6197,19,4,1,3,1.5,2024-10-24 10:00:00,45.812189,16.040192,2,4,0,0.187,1,0.235,0,2.53,0.7963,0.5769,0.7218,0.9843,0.2234,0.4766,0.753,0.3956
99,1103,3,2,2,5,1.7,2023-02-24 10:00:00,45.844186,15.947348,1,5,0,0.366,2,0.737,0,3.67,0.4217,0.8641,0.1899,0.7135,0.341,0.3315,0.2242,0.4751
100,2635,8,0,1,11,2.3,2024-10-07 19:00:00,45.780567,16.044053,2,1,2,0.447,5,0.676,1,1.92,0.9083,0.2604,0.4751,0.4346,0.0984,0.8895,0.493,0.2056
101,3578,4,6,2,12,1.7,2024-01-29 20:00:00,45.856952,15.95058,1,1,2,0.491,6,0.46,1,2.44,0.6809,0.3493,0.3729,0.6858,0.1523,0.2245,0.9352,0.583
102,5778,24,3,0,10,0.8,2024-02-21 09:00:00,45.804846,15.896012,4,3,0,0.066,1,0.404,0,3.49,0.4252,0.4833,0.9653,0.6526,0.8782,0.2168,0.5092,0.8085
103,2832,28,0,1,11,3.7,2023-10-01 19:00:00,45.806793,16.040276,2,0,2,0.694,8,1.066,1,2.43,0.8286,0.2894,0.4915,0.5152,0.2998,0.9007,0.4432,0.2791
104,5328,14,5,0,13,1.2,2023-12-30 19:00:00,45.848371,15.950511,1,6,2,0.465,6,0.647,1,2.74,0.2725,0.4615,0.1405,0.6097,0.2877,0.5357,0.4167,0.3949
105,2359,29,1,1,50,1.3,2024-06-23 19:00:00,45.82073,15.876227,4,0,2,0.5,25,0.094,2,2.61,0.7765,0.2504,0.2973,0.4132,0.6618,0.1877,0.4098,0.3764
106,7952,16,2,1,15,1.4,2024-12-30 18:00:00,45.759707,15.966676,3,1,2,0.428,6,1.269,1,2.88,0.4339,0.9252,0.1343,0.6323,0.3098,0.3017,0.3337,0.5454
107,1517,10,4,1,14,2.0,2023-06-20 19:00:00,45.809048,16.047582,2,2,2,0.535,7,1.244,1,2.22,0.7636,0.582,0.7824,0.9395,0.1871,0.399,0.7554,0.3185
108,8463,30,5,1,5,2.5,2024-09-20 19:00:00,45.744942,15.973849,3,5,2,0.569,3,0.935,1,3.78,0.182,0.3869,0.1553,0.6131,0.2555,0.579,0.3575,0.2231
109,2513,8,0,2,25,1.3,2023-08-29 18:00:00,45.790767,16.033803,2,2,2,0.367,9,0.652,2,1.08,0.9572,0.2704,0.5578,0.4717,0.1879,0.925,0.4404,0.3105
110,1509,11,3,1,17,1.9,2023-03-18 10:00:00,45.789015,16.055059,2,6,0,0.284,5,0.468,1,2.83,0.4617,0.4842,0.8283,0.6139,0.8358,0.2137,0.6194,0.7729
111,6294,5,5,1,20,1.7,2023-12-05 19:00:00,45.807514,16.039691,2,2,2,0.615,12,1.142,2,3.69,0.3288,0.4168,0.1418,0.5682,0.2673,0.6386,0.4733,0.3077
112,1664,19,4,1,14,1.8,2024-12-22 19:00:00,45.755706,15.974794,3,0,2,0.361,5,0.655,1,3.53,0.8221,0.6351,0.6613,0.9429,0.2577,0.3439,0.746,0.4294
113,3732,27,7,0,4,0.7,2023-05-17 10:00:00,45.820214,15.893047,4,3,0,0.6,2,0.968,0,3.45,0.5207,0.4073,0.6692,0.4286,0.8515,0.3678,0.3444,0.6532
114,4279,8,0,2,4,1.6,2023-02-20 11:00:00,45.794941,16.037575,2,1,0,0.483,2,0.108,0,2.09,0.9289,0.2472,0.5208,0.537,0.1427,0.8843,0.4479,0.3808
115,1932,13,6,0,16,1.9,2023-05-20 09:00:00,45.833497,15.978565,0,6,0,0.148,2,1.101,0,3.26,0.6717,0.3772,0.2748,0.6351,0.2126,0.1451,0.904,0.5825
116,969,8,0,0,21,0.7,2023-04-09 18:00:00,45.816249,15.900189,4,0,2,0.355,7,0.875,1,2.33,0.9405,0.3634,0.548,0.4695,0.2821,0.8829,0.376,0.3296
117,1037,1,1,0,6,1.1,2024-03-22 09:00:00,45.80644,16.041472,2,5,0,0.316,2,0.692,0,2.98,0.8689,0.4078,0.3089,0.3648,0.544,0.1206,0.4866,0.323
118,5568,4,6,0,3,1.6,2023-04-12 18:00:00,45.805219,15.864902,4,3,2,0.324,1,1.24,0,2.4,0.6669,0.3359,0.3361,0.6846,0.2738,0.1994,0.9054,0.4996
119,128,15,0,0,7,1.6,2024-03-25 20:00:00,45.819161,15.966411,0,1,2,0.536,4,0.135,1,3.53,0.9667,0.2193,0.5415,0.435,0.2462,0.9618,0.4391,0.2915
120,8533,11,3,0,19,2.1,2024-12-01 09:00:00,45.819232,15.8972,4,0,0,0.375,7,0.564,1,2.83,0.5629,0.3369,0.9391,0.5324,0.772,0.206,0.4933,0.8308
121,1481,15,0,1,23,1.2,2023-10-03 20:00:00,45.803605,16.033185,2,2,2,0.701,16,1.383,2,2.85,0.8874,0.2666,0.5413,0.4826,0.1858,0.9533,0.4447,0.3268
122,4660,20,5,1,12,1.4,2023-07-07 20:00:00,45.823298,15.961694,0,5,2,0.769,9,1.158,2,2.62,0.2576,0.5801,0.108,0.6262,0.3178,0.6225,0.4182,0.3419
123,3566,1,1,0,8,1.9,2023-09-17 19:00:00,45.814625,15.904878,4,0,2,0.237,2,0.896,0,3.22,0.888,0.3184,0.28,0.3606,0.5794,0.2028,0.4881,0.2906
124,8103,3,2,1,12,1.6,2023-02-25 20:00:00,45.825702,15.898848,4,6,2,0.399,5,1.29,1,1.18,0.3884,0.8679,0.2155,0.6749,0.2722,0.3679,0.2505,0.5567
125,3009,28,0,2,17,1.9,2024-03-01 18:00:00,45.85471,15.957854,1,5,2,0.4,7,0.611,1,3.06,0.8483,0.2835,0.4809,0.5624,0.2377,0.9116,0.3728,0.3367
126,3868,30,5,0,6,1.7,2023-05-24 19:00:00,45.791045,16.043168,2,3,2,0.605,4,0.2,1,3.23,0.3569,0.4844,0.1637,0.6605,0.3531,0.635,0.4312,0.3345
127,8678,2,0,1,10,1.2,2024-12-05 19:00:00,45.754726,15.975219,3,4,2,0.504,5,0.526,1,2.39,0.9495,0.3369,0.5624,0.5705,0.308,0.9213,0.3187,0.2776
128,4844,27,7,1,13,1.0,2023-03-22 10:00:00,45.801709,16.049615,2,3,0,0.435,6,1.036,1,1.97,0.5033,0.3869,0.6126,0.5013,0.9135,0.3304,0.3942,0.6793
129,8100,1,1,0,7,0.6,2023-11-03 18:00:00,45.82293,15.981162,0,5,2,0.379,3,0.59,1,2.26,0.7868,0.2708,0.309,0.3447,0.5952,0.206,0.5336,0.2277
130,3669,23,3,0,8,2.2,2023-01-18 19:00:00,45.795639,16.027047,2,3,2,0.549,4,0.954,1,3.57,0.5207,0.53,0.9557,0.5671,0.8033,0.1871,0.532,0.8429
131,4100,6,2,0,5,0.8,2023-01-08 20:00:00,45.847458,15.94121,1,0,2,0.441,2,1.078,0,3.27,0.3635,0.8898,0.152,0.6664,0.2324,0.3025,0.3168,0.5585
132,6838,2,0,2,7,1.8,2024-01-21 18:00:00,45.810533,15.970151,0,0,2,0.325,2,0.773,0,3.84,1.0,0.3389,0.4329,0.4816,0.1262,0.9182,0.3382,0.2766
133,3985,13,6,2,6,0.7,2023-03-27 09:00:00,45.845729,15.947179,1,1,0,0.301,2,1.038,0,2.3,0.7648,0.3009,0.2974,0.7046,0.1386,0.1569,0.941,0.5496
134,4635,22,7,1,8,1.5,2024-03-28 18:00:00,45.817429,15.987883,0,4,2,0.346,3,0.919,1,2.66,0.4874,0.3402,0.6426,0.4816,0.9211,0.3471,0.3459,0.7699
