user_id,motivation_type,frequency_tier,openness,conscientiousness,extraversion,agreeableness,neuroticism,hardiness,confidence,locus_of_control,fa_score,fb_score,preferred_session_duration,organizing_openness,leadership_inclination,max_travel_distance,weekly_activity_target,pushes_through_discomfort,preferred_group_size,acquaintance_preference,enjoys_meeting_new_people,activity_vs_social,motivated_by_competition,planning_horizon,feels_like_burden,age,gender,latitude,longitude,geo_cluster,user_cluster,preferred_activities,preferred_skills,availability_days,availability_times,participation_groups
11,unmotivated,sparse,0.5404,0.3672,0.1968,0.8385,0.6149,0.4896,0.6876,0.5548,0.4812,0.508,94,0,2,21,3,2,4,1,2,1,4,2,3,45,0,45.742574,15.968447,3,2,2,0,"0,1,3,4,5,6","0,1,2,3","0,1,2"
12,social,sparse,0.4842,0.3682,0.8926,0.6933,0.2505,0.3782,0.9441,0.4538,0.4774,0.7601,75,2,5,26,3,3,10,3,5,5,4,2,2,50,3,45.799088,15.961938,0,2,"29,20","0,2","0,1,2,3,4,5,6","0,1,2,3","2,3"
13,social,occasional,0.7521,0.136,0.8539,0.8537,0.3259,0.7269,0.3996,0.862,0.4288,0.7649,91,2,5,36,3,2,8,3,4,4,4,2,2,59,2,45.839889,15.958837,1,2,"6,7,23","3,0,1","0,1,2,3,4,6","0,1,2,3","2,3"
14,casual_recreational,regular,0.7398,0.3794,0.5814,0.5273,0.4418,0.3176,0.1891,0.4911,0.3251,0.4637,96,1,3,18,3,3,5,2,3,4,2,3,3,33,0,45.795174,15.895704,4,2,"30,1,25","0,3,2","0,1,2,3,4,5,6","0,1,2,3","1,2"
15,casual_recreational,sparse,0.8727,0.6641,0.4329,0.7704,0.233,0.3257,0.2817,0.5744,0.5509,0.7052,107,1,2,22,5,3,5,4,3,3,2,4,2,30,2,45.826401,15.977607,0,1,"29,13,15,19","1,2,0,3","0,4,6","1,2,3","1,2"
16,social,regular,0.8898,0.3452,0.6192,0.7092,0.3376,0.7919,0.8202,0.4143,0.5198,0.6837,104,1,4,37,2,4,7,2,4,5,4,2,2,62,3,45.747414,15.949413,3,1,21,2,"0,1,4,5,6","0,1,2,3","2,3"
17,competitive,frequent,0.2364,0.9514,0.7711,0.1737,0.0938,0.7521,0.8466,0.8092,0.8578,0.6355,69,2,5,46,6,5,8,4,4,3,5,5,1,18,0,45.859473,15.949176,1,0,"5,29","3,1","0,1,2,3,4,5,6","0,1,2,3","2,3"
18,social,occasional,0.7519,0.1608,0.6325,0.8707,0.2324,0.3906,0.7345,0.4692,0.4318,0.674,71,1,4,29,2,2,6,3,3,3,3,2,2,27,1,45.81221,15.88997,4,2,"9,15","3,1","0,1,2,3,4,5,6","0,1,2,3","2,3"
19,social,regular,0.4792,0.2184,0.9326,0.7639,0.7195,0.5497,0.4231,0.3865,0.2963,0.6641,99,2,5,15,2,3,10,2,4,5,2,1,4,53,1,45.846475,15.944889,1,2,"30,13,16","2,2,2","2,5,6","0,1,3","2,3"
20,social,occasional,0.6195,0.4193,0.7716,0.9717,0.6215,0.6754,0.7009,0.4923,0.3886,0.7252,67,2,4,30,4,3,9,2,4,4,4,2,4,31,3,45.793381,16.041243,2,2,4,2,"2,3,4,5,6","0,1,2,3","2,3"
21,casual_recreational,sparse,0.7605,0.5478,0.4964,0.4999,0.5127,0.4357,0.7081,0.624,0.516,0.4833,58,1,4,20,4,3,4,1,3,5,4,4,2,60,1,45.85994,15.962752,1,1,"25,14,13,21","0,0,1,0","0,1,2,3,4,5,6","0,1,2,3","1,2"
22,unmotivated,sparse,0.1175,0.5928,0.3627,0.4194,0.7068,0.4279,0.8397,0.8175,0.509,0.3834,82,1,2,19,5,3,5,0,2,3,5,4,5,22,3,45.850602,15.945194,1,1,"18,6,24","3,1,0","0,1,3,6","0,1,2,3","1,2,3"
23,unmotivated,regular,0.4951,0.0606,0.0732,0.9456,0.9048,0.2456,0.3813,0.7024,0.1594,0.3331,91,0,1,6,2,2,5,0,2,1,4,1,5,31,2,45.759039,15.97078,3,2,"13,20,6","3,1,2","0,1,6","0,2,3","0,1,2"
24,social,occasional,0.4087,0.4108,0.9334,0.8228,0.2788,0.5442,0.3826,0.4042,0.6075,0.7615,133,2,5,24,4,3,10,3,5,5,3,3,2,18,2,45.798299,16.051089,2,0,12,3,"0,1,2,3,4,5","0,1,2,3","2,3"
25,casual_recreational,sparse,0.5744,0.5063,0.5954,0.4774,0.2678,0.4775,0.6957,0.5853,0.6004,0.5755,94,1,4,31,4,4,7,3,3,4,4,3,1,64,0,45.802997,16.05109,2,0,13,2,"0,1,2,3,5,6","0,1,2,3","2,3"
26,casual_recreational,regular,0.3206,0.7192,0.5467,0.7928,0.306,0.3956,0.8414,0.5137,0.5569,0.7142,74,1,4,24,5,4,6,3,3,2,4,4,2,49,3,45.819817,15.892393,4,1,"5,6","3,3","0,1,3,4","0,1,2,3","1,2"
27,competitive,occasional,0.8109,0.7496,0.3968,0.39,0.406,0.904,0.712,0.6609,0.6747,0.4477,81,1,2,31,5,4,6,3,2,2,4,4,2,55,0,45.806248,15.977359,0,1,"6,20,26,5","2,1,2,3","0,4,5","0,2,3","1,2"
28,casual_recreational,regular,0.8656,0.8233,0.5798,0.4441,0.2847,0.466,0.645,0.8196,0.6888,0.6085,65,1,2,36,6,4,8,3,3,3,3,4,2,36,3,45.81898,15.884241,4,0,20,0,"0,1,5,6","0,1,2,3","2,3"
29,social,regular,0.4322,0.3203,0.9911,0.785,0.5609,0.4953,0.4836,0.4791,0.4373,0.7889,125,2,5,17,2,3,10,2,5,3,3,2,3,44,0,45.832716,15.974104,0,2,"22,12,1,25","1,1,2,1","0,1,2,3,4,5,6","0,1,2,3","2,3"
30,social,regular,0.8608,0.4564,0.7951,0.5769,0.3802,0.8562,0.4607,0.6108,0.6034,0.631,75,2,5,32,4,3,8,3,4,5,2,3,2,37,3,45.812507,15.976953,0,0,"15,17","0,3","0,1,2,3,4,5","0,1,2,3","2,3"
31,unmotivated,occasional,0.5997,0.4824,0.6455,0.8154,0.5199,0.4885,0.4314,0.4882,0.5175,0.655,87,1,4,13,4,3,8,2,4,4,3,3,3,55,1,45.798103,15.89128,4,1,20,0,"0,1,3,5,6","0,1,2,3","1,2,3"
32,casual_recreational,occasional,0.5028,0.2218,0.4712,0.4767,0.5004,0.4216,0.7254,0.5555,0.3275,0.4374,101,1,3,24,2,3,6,2,3,4,3,2,2,43,1,45.798613,16.050796,2,2,"27,5,20","1,0,2","0,1,3,4,5,6","0,1,2,3","1,2"
33,casual_recreational,sparse,0.785,0.493,0.6025,0.1702,0.2791,0.7866,0.3158,0.2894,0.6997,0.5775,102,1,4,27,5,3,7,2,3,4,2,3,2,64,2,45.8543,15.962802,1,0,"4,23,24,5","3,3,1,0","0,1,2,3,4,5,6","0,1,2,3","2,3"
34,casual_recreational,frequent,0.7581,0.622,0.4185,0.5076,0.5535,0.7172,0.8601,0.5808,0.6255,0.4651,77,1,3,28,5,4,4,2,4,1,3,4,4,22,3,45.82217,15.988271,0,1,"19,0,30","2,1,1","0,1,2,3,4,5,6","0,1,2,3","1,2"
35,casual_recreational,regular,0.7789,0.6723,0.452,0.6369,0.4642,0.5595,0.6953,0.8526,0.6292,0.5238,93,1,3,30,5,3,5,1,2,4,3,4,3,58,0,45.758435,15.964597,3,0,"29,12","0,0","0,1,2,3,4,6","0,1,2,3","1,2"
36,competitive,frequent,0.759,0.8316,0.5617,0.659,0.1678,0.7453,0.5288,0.5599,0.7638,0.6654,47,1,4,33,6,4,6,4,4,3,3,4,2,30,0,45.795508,16.040681,2,0,11,2,"0,1,4","0,1,3",2
37,casual_recreational,occasional,0.7736,0.6394,0.5645,0.5131,0.5299,0.4923,0.3954,0.6086,0.5204,0.5221,94,1,2,19,4,3,7,2,2,3,3,4,3,42,3,45.857966,15.956925,1,1,"19,20,8,21","0,2,0,3","0,1,2,3,4,5,6","0,1,2,3","2,3"
38,casual_recreational,occasional,0.7583,0.54,0.4073,0.6616,0.4526,0.5861,0.4361,0.2632,0.6217,0.435,92,1,2,22,5,4,6,2,3,3,3,3,3,57,0,45.809998,15.890826,4,1,"23,9","1,2","0,1,2,3,4,5,6","0,1,2,3","1,2"
39,social,regular,0.554,0.3113,0.8972,0.8063,0.1631,0.713,0.2137,0.2562,0.577,0.8133,100,2,5,32,2,3,9,3,5,5,3,2,1,52,1,45.738742,15.968078,3,1,"27,17","3,1","1,2,5,6","0,1,2,3","2,3"
40,casual_recreational,sparse,0.8255,0.3909,0.4545,0.4187,0.3329,0.742,0.7481,0.4709,0.537,0.4714,72,1,3,26,4,3,5,2,3,3,3,2,2,26,0,45.750056,15.961453,3,1,"5,18","1,0","0,3,5,6","0,1,2,3","1,2"
41,social,regular,0.8361,0.2862,0.9773,0.6847,0.4199,0.698,0.2737,0.8683,0.4614,0.8148,89,2,5,24,3,3,10,3,5,4,5,2,3,58,1,45.760256,15.975584,3,2,"27,15,17,25","3,2,2,2","0,1,5,6","0,1,2,3","2,3"
42,social,regular,0.3869,0.3755,0.9024,0.8489,0.4573,0.6069,0.541,0.6286,0.4742,0.8069,90,2,4,35,3,3,10,2,5,5,4,3,3,50,3,45.829364,15.965983,1,2,"1,15,2","0,0,0","3,5,6","1,2,3","2,3"
43,casual_recreational,occasional,0.6449,0.4836,0.5377,0.7088,0.4833,0.5208,0.3126,0.6715,0.4609,0.5629,93,1,2,26,4,3,6,2,4,2,3,3,3,27,1,45.810795,15.988467,0,2,"13,25","2,2","0,1,2,3,4,5,6","0,1,2,3","1,2"
44,social,occasional,0.5377,0.3098,0.9733,0.894,0.4435,0.4835,0.7207,0.5109,0.4738,0.8715,131,2,5,25,3,2,10,2,5,5,3,2,3,31,2,45.813116,15.979829,0,2,"12,24,26","0,1,1","0,2,4,6","0,1,2,3","2,3"
45,social,regular,0.3193,0.4326,0.7825,0.9236,0.2793,0.2374,0.6551,0.6639,0.4122,0.7814,106,2,4,21,4,3,9,3,4,4,5,3,2,24,0,45.732588,15.992699,3,2,19,0,"2,3,5","0,1,3","2,3"
46,casual_recreational,occasional,0.9587,0.3941,0.2462,0.8904,0.2194,0.6515,0.8915,0.7737,0.48,0.5697,97,0,3,31,3,3,3,3,2,1,4,3,2,54,1,45.799905,15.984881,0,2,"2,19,11,14","2,0,2,3","0,1,4","0,1,3","0,1,2,3"
47,casual_recreational,occasional,0.904,0.3174,0.4906,0.7292,0.4309,0.6031,0.6499,0.7399,0.5229,0.5654,114,1,3,20,2,3,5,2,3,2,4,3,3,35,0,45.809585,15.973519,0,1,19,1,"0,1,2,3,4,5,6","0,1,2,3","1,2"
48,social,frequent,0.4487,0.567,0.8973,0.6809,0.3194,0.6965,0.7858,0.8717,0.7002,0.7982,76,2,4,35,5,3,10,2,5,4,5,3,2,61,0,45.735532,15.972779,3,0,"19,7,18,21","3,2,2,0","0,2,3,4,5,6","0,1,2,3","2,3"
49,competitive,frequent,0.4514,0.7118,0.2764,0.2562,0.5166,0.5756,0.7751,0.741,0.6456,0.3537,66,0,3,23,5,4,5,2,2,1,5,4,3,29,0,45.793236,16.040961,2,1,"0,7,13,23","2,2,3,3","0,1,2,3,4,5,6","0,1,2,3","0,1,2"
50,casual_recreational,sparse,0.5875,0.1426,0.4125,0.7859,0.3725,0.3626,0.2573,0.9043,0.2816,0.5802,104,1,3,25,2,2,6,2,3,2,4,2,3,20,1,45.812468,15.987949,0,2,"12,8,10,13","1,2,2,3","0,1,2,3,4,5,6","0,1,2,3","1,2"
51,competitive,sparse,0.5507,0.7747,0.3652,0.4364,0.1403,0.6181,0.6454,0.4616,0.6681,0.5971,104,1,2,37,5,3,5,3,2,1,4,4,1,64,1,45.809569,15.981539,0,0,"15,17","1,1","0,1,2,3,4,5,6","0,1,2,3","1,2"
52,social,regular,0.6334,0.2257,0.8354,0.7983,0.1466,0.2607,0.6209,0.6531,0.4377,0.7477,104,2,5,29,2,1,7,4,3,5,4,2,1,63,3,45.844826,15.952066,1,2,"5,19","3,3","0,1,2,3,4,5,6","0,1,2,3","2,3"
53,social,regular,0.1421,0.2975,0.8648,0.907,0.5839,0.3386,0.1098,0.4451,0.3871,0.703,107,2,4,17,2,2,10,1,5,4,2,2,3,17,2,45.801784,16.040863,2,2,25,2,"0,1,2,3,4,5,6","0,1,2,3","2,3"
54,social,frequent,0.2929,0.3738,0.9718,0.6832,0.6561,0.7493,0.7057,0.7021,0.4113,0.7448,102,2,4,16,4,3,8,1,5,3,4,2,3,38,3,45.780704,16.042374,2,2,3,0,"0,2,3,4,5,6","0,1,2,3","2,3"
55,social,occasional,0.4638,0.6364,0.7354,0.7334,0.4812,0.7275,0.8883,0.5562,0.6125,0.7225,67,2,3,26,4,3,7,2,4,5,5,4,3,62,2,45.805375,15.886614,4,0,17,0,"0,1,2,3,5,6","0,1,2,3","2,3"
56,casual_recreational,sparse,0.6168,0.3491,0.1713,0.8021,0.6477,0.5063,0.2525,0.5315,0.3133,0.5866,66,0,1,14,3,3,4,1,1,2,3,2,3,47,2,45.848686,15.958707,1,2,"4,27,17,18","0,3,3,2","0,2,3,4,5,6","0,1,2,3","0,1,2"
57,social,regular,0.8052,0.4472,0.9414,0.6688,0.487,0.5157,0.3736,0.6705,0.4743,0.7816,105,2,4,20,3,3,8,2,5,4,2,4,3,17,1,45.855014,15.96189,1,2,"12,11,13,17","2,2,0,0","0,1,2,3,4,5,6","0,1,2,3","2,3"
58,competitive,frequent,0.7154,0.7726,0.6121,0.2716,0.1754,0.7414,0.6781,0.7195,0.8136,0.5848,92,1,4,44,6,4,7,3,3,4,4,4,2,23,1,45.839598,15.948381,1,0,"3,6,17","2,1,1","0,1,2,3,4,5,6","0,1,2,3","2,3"
59,competitive,frequent,0.3219,0.948,0.6521,0.4258,0.283,0.8986,0.5014,0.7265,0.7884,0.5523,112,2,4,32,7,5,7,4,3,4,4,4,1,61,0,45.801395,15.956153,0,0,"30,4,5,22","1,1,0,1","0,1,2,3,4,5,6","0,1,2,3","2,3"
60,social,frequent,0.924,0.4248,0.8464,0.5353,0.3633,0.8111,0.4109,0.4249,0.5686,0.6671,99,2,4,29,4,4,9,3,4,5,3,3,2,49,3,45.830909,15.940659,1,1,"1,18,4","0,1,0","0,2,3,4,5","0,1,2,3","2,3"
61,casual_recreational,occasional,0.8079,0.8045,0.5361,0.6486,0.3689,0.5785,0.3979,0.6777,0.6756,0.5981,88,1,4,22,6,4,7,2,3,5,3,4,2,42,1,45.74139,15.979877,3,0,16,0,"0,2,3,6","0,1,2,3","1,2,3"
62,social,frequent,0.6976,0.3097,0.8801,0.6939,0.2687,0.6933,0.6416,0.694,0.5596,0.7815,116,2,4,38,3,3,10,3,4,5,3,2,2,31,1,45.788137,16.047466,2,1,27,2,"0,1,3,5","0,1,2,3","2,3"
63,social,sparse,0.3316,0.1709,0.692,0.801,0.4211,0.2547,0.6413,0.3581,0.2916,0.6605,88,2,4,22,2,2,7,2,3,3,2,2,3,58,0,45.858768,15.960475,1,2,"14,26","3,2","1,2,3,4,6","0,1,2,3","2,3"
64,social,regular,0.6081,0.5256,0.7737,0.8622,0.2606,0.817,0.7548,0.4752,0.741,0.8263,98,2,3,23,4,4,7,3,4,5,3,3,1,19,3,45.755483,15.974229,3,0,"19,1,9","1,3,1","0,1,3,4,5,6","0,1,2,3","0,2,3"
65,social,frequent,0.5674,0.5393,0.8879,0.9157,0.6205,0.568,0.4056,0.6203,0.5967,0.8556,71,2,5,16,4,3,10,2,4,5,4,3,4,49,3,45.802326,16.040662,2,1,23,2,"0,1,2,3,4,5,6","0,1,2,3","0,2,3"
66,social,regular,0.2011,0.5738,0.949,0.7716,0.2993,0.8594,0.2912,0.5098,0.616,0.7916,84,2,5,39,4,3,8,3,4,3,2,4,3,64,2,45.784534,16.035662,2,0,6,3,"0,1,2,3,4,5,6","0,1,2,3","2,3"
67,casual_recreational,frequent,0.8069,0.7513,0.4313,0.6937,0.6768,0.6598,0.7189,0.6335,0.7037,0.469,89,1,3,7,5,4,5,1,2,4,4,4,3,42,0,45.737032,15.984781,3,1,"30,29","0,0","0,1,2,3,4,5,6","0,1,2,3","1,2"
68,competitive,occasional,0.6115,0.885,0.5178,0.2399,0.2289,0.8929,0.4841,0.9387,0.9078,0.4969,104,1,3,26,6,5,6,3,4,4,4,5,2,61,2,45.795524,16.048782,2,1,"24,14,2,8","0,1,3,3","0,1,3,4","0,1,2,3","1,2"
69,casual_recreational,sparse,0.649,0.6999,0.7427,0.7307,0.3066,0.3668,0.3842,0.5077,0.6615,0.7744,67,2,4,23,5,3,8,2,4,4,3,3,2,49,0,45.781088,16.043563,2,0,"27,10,4","0,2,0","1,2,3,4,5","0,1,2,3","2,3"
70,casual_recreational,occasional,0.8859,0.7256,0.5255,0.6009,0.4817,0.9185,0.804,0.8387,0.7552,0.616,83,1,3,17,6,4,6,2,3,3,4,4,3,46,3,45.750523,15.972672,3,0,14,1,"0,1,2,3,4,5","0,1,2,3","1,2"
71,casual_recreational,regular,0.9435,0.5743,0.8629,0.7657,0.2162,0.5667,0.6187,0.6583,0.6207,0.7657,86,2,5,32,5,3,9,3,5,5,3,4,2,45,0,45.802295,15.882969,4,0,"8,18,9","3,0,1","0,5,6","0,1,2","2,3"
72,unmotivated,sparse,0.3848,0.3404,0.4064,0.7113,0.7162,0.2192,0.6857,0.7328,0.3732,0.4219,100,1,2,3,3,2,5,1,3,3,4,2,4,43,2,45.759917,15.980632,3,2,"30,22","1,1","1,3,5,6","0,1,2,3","1,2"
73,casual_recreational,regular,0.8836,0.7227,0.5518,0.6081,0.3049,0.3918,0.7194,0.5892,0.6113,0.6339,84,1,3,22,6,3,5,3,4,3,4,4,3,39,2,45.848356,15.947701,1,0,10,3,"0,1,2,3,4,5,6","0,1,2,3",2
74,competitive,occasional,0.3072,0.8195,0.3132,0.3696,0.1207,0.5017,0.6722,0.5396,0.7334,0.3746,42,0,2,29,7,3,3,3,3,2,4,4,1,28,2,45.734527,15.968257,3,1,29,3,"0,3,6","0,2,3","0,1,2"
75,casual_recreational,occasional,0.767,0.5607,0.4589,0.6217,0.3075,0.4227,0.6449,0.0649,0.55,0.5933,110,1,3,24,5,3,5,2,3,3,2,3,2,29,3,45.794521,15.881308,4,1,"28,24","2,3","0,1,2,3,4,5,6","0,1,2,3","1,2"
76,casual_recreational,occasional,0.7175,0.5404,0.5957,0.7151,0.2476,0.3471,0.451,0.3914,0.4415,0.6486,81,1,4,36,4,3,6,4,4,3,2,3,2,39,2,45.80789,15.989124,0,2,"17,15","1,3","0,2,4,5,6","0,1,2,3",2
77,social,occasional,0.3591,0.4012,0.7254,0.9266,0.5758,0.4579,0.8325,0.7041,0.4162,0.6906,87,2,4,16,3,2,6,2,3,5,4,3,3,59,0,45.857614,15.952084,1,2,29,1,"0,1,2,3,5,6","0,1,2,3","2,3"
78,social,regular,0.7252,0.528,0.8056,0.7966,0.4789,0.4188,0.2564,0.569,0.5438,0.6888,92,2,5,15,5,2,9,2,5,3,3,3,3,50,1,45.812934,15.891468,4,1,20,0,"0,1,2,3,4,5,6","0,1,2,3","2,3"
79,social,regular,0.6858,0.2626,0.9629,0.817,0.3444,0.636,0.5333,0.7314,0.4469,0.8739,82,2,5,30,3,3,9,3,5,5,3,2,2,49,0,45.758474,15.986172,3,2,12,2,"0,1,2,3,4,5,6","0,1,2,3","2,3"
80,social,regular,0.7262,0.2641,0.9402,0.8727,0.3701,0.7248,0.4511,0.5543,0.4327,0.851,101,2,5,28,3,2,10,3,5,5,3,2,3,62,3,45.855536,15.958282,1,2,8,2,"0,1,2,3,4,5,6","0,1,2,3","2,3"
81,casual_recreational,sparse,0.7523,0.5378,0.6653,0.5466,0.1327,0.893,0.5586,0.407,0.6295,0.6942,86,2,4,37,3,3,7,3,4,3,2,2,2,29,3,45.796432,16.04605,2,0,"23,13,24,29","3,2,3,0","0,1,3,5","0,1,2,3","2,3"
82,social,occasional,0.6937,0.3026,0.851,0.7768,0.3528,0.4482,0.3942,0.7971,0.3595,0.7384,122,2,5,29,3,3,9,3,4,5,3,3,3,29,2,45.820256,15.970475,0,2,"28,12,5,26","2,3,3,1","0,1,3,4,5","0,1,2,3","2,3"
83,casual_recreational,frequent,0.9565,0.27,0.2661,0.5779,0.2578,0.8053,0.9341,0.4181,0.5869,0.4607,104,0,2,40,3,3,4,4,2,2,3,2,2,56,0,45.820946,15.967853,0,1,"27,20,7","3,0,3","1,2,3,4,5,6","0,1,2,3","0,1,2"
84,competitive,regular,0.3371,0.6647,0.5333,0.3878,0.2442,0.7942,0.4429,0.6414,0.6773,0.5734,92,1,4,27,6,4,5,3,2,4,3,3,2,16,2,45.807332,15.98591,0,0,"3,19","3,2","0,1,2,3,4,5,6","0,1,2,3","1,2"
85,competitive,frequent,0.6642,0.714,0.8483,0.4462,0.2793,0.867,0.7001,0.7307,0.7225,0.6426,103,2,5,40,6,4,10,3,5,4,3,4,2,27,0,45.802327,16.049015,2,0,"8,17","3,2","0,1,2,3,4,5,6","0,1,2,3","2,3"
86,social,regular,0.8377,0.2249,0.9264,0.6884,0.4195,0.226,0.8676,0.7499,0.3319,0.7536,109,2,5,23,2,2,9,3,5,5,5,2,2,17,2,45.825062,15.982105,0,2,"21,8","0,2","1,3,4,5","0,1,2,3","2,3"
87,casual_recreational,regular,0.8609,0.5524,0.5124,0.6288,0.3995,0.3568,0.672,0.3212,0.4781,0.6381,103,1,3,22,4,2,7,3,3,2,3,3,2,46,1,45.820693,15.986847,0,2,"16,10,0","1,0,3","0,1,2,3,4,5,6","0,1,2,3","1,2,3"
88,casual_recreational,sparse,0.571,0.4423,0.6188,0.6149,0.3207,0.812,0.711,0.5805,0.599,0.6589,83,1,3,32,3,3,6,4,3,3,3,2,2,34,3,45.79273,16.043337,2,1,1,2,"0,1,2,3,4,5,6","0,1,2,3","2,3"
89,casual_recreational,occasional,0.8528,0.8497,0.6005,0.7794,0.7018,0.6387,0.6856,0.7639,0.6396,0.5445,68,1,3,16,6,4,6,1,4,3,4,4,4,38,2,45.791795,16.039045,2,0,"21,26,22","3,1,3","0,1,2,3,4,5,6","0,1,2,3","2,3"
90,casual_recreational,occasional,0.8449,0.478,0.5024,0.8001,0.4113,0.4001,0.5056,0.6334,0.457,0.6778,116,1,4,28,5,3,7,2,4,2,3,2,2,19,1,45.758725,15.966023,3,2,"18,0,10","2,1,3","1,3,5","1,2,3","0,1,2,3"
91,social,occasional,0.6877,0.2159,0.8455,0.9404,0.2766,0.8335,0.5467,0.699,0.4467,0.8378,107,2,5,30,3,3,7,3,3,3,4,2,2,51,2,45.783824,16.042883,2,2,"18,6","1,1","0,1,2,3,4,5,6","0,1,2,3","2,3"
92,casual_recreational,sparse,0.6229,0.3355,0.3591,0.5847,0.2997,0.5082,0.6807,0.6499,0.4247,0.4733,92,1,2,28,2,2,7,3,2,2,4,2,3,62,0,45.808736,16.051637,2,2,"16,20,18","3,1,3","0,1,3,6","0,1,2,3","1,2,3"
93,casual_recreational,occasional,0.9408,0.5137,0.6194,0.5505,0.1263,0.563,0.7823,0.5498,0.5366,0.6271,126,1,4,41,4,3,7,3,2,5,4,2,1,34,1,45.804351,15.908033,4,1,"20,6,4","1,3,3","2,3,4","1,2,3","2,3"
94,casual_recreational,regular,0.8693,0.4677,0.8873,0.639,0.4894,0.6486,0.5843,0.4086,0.5487,0.6959,90,2,4,20,4,3,10,2,5,3,2,2,2,41,2,45.807401,15.885737,4,1,7,2,"0,1,2,3,4,5,6","0,1,2,3","2,3"
95,social,regular,0.4222,0.3393,0.9906,0.8538,0.4569,0.2265,0.7238,0.7374,0.3546,0.7931,114,2,5,19,3,2,10,2,5,4,3,3,3,16,2,45.747416,15.984733,3,2,"15,20,11,28","1,1,2,2","0,1,2,3,4,5,6","0,1,2,3","2,3"
96,casual_recreational,sparse,0.8134,0.707,0.6972,0.6886,0.6407,0.5404,0.4685,0.6977,0.5295,0.6191,102,2,4,21,6,4,9,1,4,4,3,4,4,20,3,45.852296,15.959737,1,1,30,2,"0,1,2,3,4,5,6","0,1,2,3","2,3"
97,competitive,frequent,0.7968,0.9118,0.4637,0.1353,0.2718,0.8774,0.6346,0.6112,0.8408,0.52,63,1,3,30,7,4,7,3,3,3,3,5,2,25,2,45.813994,15.903042,4,0,"18,24,0,10","0,3,2,0","0,1,2,3,4,5,6","0,1,2,3","1,2,3"
